text,author_id,Label
"- @aishambuhari ta nemi babban sufeton 'yan sanda da ya magance annobar fyade a Najeriya
https://t.co/5UE9gl2NJY",7.97E+17,Neutral
"""Duk dan Bokon da baida Ilimin Addini Annoba ne cikin Al'ummah.""

Ali Yahaya Mohammed",2290469884,
"""Duk mutumin da yayi tunanin bawa mutane ilimi da koya musu sana'a, to ya fitar dasu daga annoba guda biyu; talauci da Jahilci"" ~ Sheikh Aminu Ibrahim Daurawa. 

Allah ya saka da alheri @KwankwasoRM 

🎥 credit : @KwankwasiyyaRe2 https://t.co/rCQiTNK0HY",1071386863,Neutral
"""Duk wanda ya sabawa dokar kaucewa kamuwa daga cutar Corona zai fuskanci hukuncin watanni 6 a gidan yari ""
#MuhammaduBuhari",1.26E+18,
"""Duk wanda ya san ya fito daga yankin da ake Annobar Corona ko kuma ma ya ke jin alamunta a jikinsa amma ya qi killace kan shi, kuma ya yaqi zuwa gwaji, ya shiga cikin al'ummar da ba su da ita,",1039267748,
"""Duk wnda ya sn ya fto dga ynkin d ake Annobar C/V ko kuma m y ke jin alamunta a jknsa amma ya ki killace kan shi, kuma ya ya ki zwa gwaji, ya shiga cikin al'ummar da ba su da ita, to y san da snin cewa dk wanda ya kmu da ita ta sndinsa Allah zai kma sh d
 alhakin yad'a ta.""

A m",3237044753,
"""idan anji yunwa a sake wanke hannu"" 😂 https://t.co/XpYrR5AlVg",2278593854,
"""Masallaci ko babu Annoba tun asali waje ne Mai tsari da sanin ya kamata.. 

Amma su kuwa Kasuwanni tun asali ko babu Annoba wuri ne na hargowa da turmutsutsu."" 

Lawal Mamman Bilbis
21-Ramadan-1441

#dakeake… https://t.co/278JZ7PgXP",1665774104,
"""Masallaci ko babu Annoba tun asali waje ne Mai tsari da sanin ya kamata.. 

Amma su kuwa Kasuwanni tun asali ko babu Annoba wuri ne na hargowa da turmutsutsu."" 

Lawal Mamman Bilbis
21-Ramadan-1441

#dakeake… https://t.co/49u3daWmnh",1665774104,
"""Mataki na ci gaba shine ɗaukar mataki na gaba.""
-John C.  Maxwell

Mainene nazarin ka kan ci-gaban ka?

Menene babbar tunanin ka cikin wannan lokotan tashin hankulan kan cutar korona? 

Hasali, wajen haɗa ababen da suka birkice sai mutum ya tsaya ya kalli hotonar ababen da kyau",3247231575,
"""Shekara ta 2020 shekara ce da duniya ta gamu da iftila'in annobar cutar Korona. An samu tabuwar tattalin arziki a fadin duniya musamman  kasashen da suka dogara da manfetir. "" Me zaka ce game da tattalin arzikin Najeriya? https://t.co/u7tDTgux1N",2173243450,
"#Alhamdulillah🙏
Ya Allah ka kiyaye mu Sharrin Zamani, Allah kayi mana maganin Wannan Annoba, Ka kawo mana karshenta, Allah mun Tuba. Allah ka Kara shirya mu
Ina Muku Fatan Alheri Da Kuma Barka Da Safiya @ Gombe Main… https://t.co/H4Ue4uRYOi",9.76E+17,
"#AtikuKawai 
WalLahi Yan arewa Mu tashi tsaye. Domin yanda yan ta'adda suke Kashe mutane a arewacin Nigeria, cutar Corona bata kashe kashi daya cikin hudu. 
WalLahi mu dage wannan gwaunatin bata damu da Talaka ba. Mu manoma  43, aka yima yankan rago a Zabarmari https://t.co/BGG7TvaA7I",1.31354E+18,
"#BABBANLABARI: Za A Yi Wa Dukkanin 'Yan Najeriya Rigakafin Cutar CORONA - Gwamnatin Tarayya — https://t.co/eqiZFsn4sn

Karanta wadannan da ma wadansu  labaran a https://t.co/Qk3k0ISPhQ #MuryarƳanci #MY #BabbanLabari #Jarida #MuryarKowa #WearAMask #StaySafe https://t.co/8wdskvNR81",1929863173,
"#COVID19, Hanyoyin kariya daga kamuwa da cutar corona virus @sarkinyaki2005 @saadatuSMD @Comrd_binji @MailatoYdo @abarshi_salman @Dankaduna2 @umme_sulaiman @AishaBabaWazir1 @activistbinanci @AbdooullSG @anas_danfili @ForRosolution @habiba_zuntu @HamzaAb57261364 @ https://t.co/hSwb1BRphI",1077415166,
#COVID19: Yadda ake wanke hannaye domin kare kai daga kamuwa daga cutar Korona Bairos https://t.co/OOV5W7CLBo,385867296,
"#Distinguished Sen Malam Uba Sani  ya fitar da motion cewa a kafa ma'aikatan binciken annoba a kaduna wanda dama bamu da shi a arewa. 
#WeldoneMyDenator https://t.co/hLhgBExtw0",723960950,Neutral
"#Distinguished Sen Malam Uba Sani  ya fitar da motion cewa a kafa ma'aikatan binciken annoba a kaduna wanda dama bamu da shi a arewa. 
#WeldoneMyDenator https://t.co/O5suu1Yfmy",723960950,Neutral
"#Distinguished Sen Malam Uba Sani  ya fitar da motion cewa a kafa ma'aikatan binciken annoba a kaduna wanda dama bamu da shi a arewa. 
#WeldoneMyDenator https://t.co/rt6NQlbx9K",723960950,Neutral
"#INNALILLAH_WAINNA_ILAIHIR_RAJIUN

An sake samun mutum 12 masu dauke da cutar Corona wato Covid-19 a Jihar Kano bayan da maaikatar lafiya ta sanar da haka wanda adadin masu dauke da cutar a jihar Kano yanzu ya kama mutum 21. 
 #StayAtHomeAndStaySafe https://t.co/yq0OnTP0Y1",1.08E+18,
#KadunaVsKano kd guys ayi hakuri a zauna gida a wanke hannu. Xuwa Kano ShopRite a hskura Sai big sallah https://t.co/l8xG2kswz3,1112804154,
"#KasakemanaMutane

@KKastelea 
@bbchausa 
@elrufai 

Ashe korona batason Karatun Alkur'ani da kuma zikirin ALLAH...?

KA SAKI MANA MUTANE KADA KA JAWOWA KANKA FUSHIN ALLAH",1.33E+18,
"#KSSM

Mai Girma Gwamna @GovUmarGanduje da Mataimakin sa @DGawuna sun halarci taron horar da shugabannin asibitocin Gwamnatin jiha tare da na masu zaman kan su domin koyar da su hanyoyin kare kan su daga kamuwa da cutar Corona wato #covid1948 https://t.co/76CA4PSnR7",1.11E+18,
"#stayhomestaysafe.

Allah Badan Halin muba, ka Yaye Mana Wannan Annoba. https://t.co/MsrcUuXxeh",1.04E+18,
"#TSORONCORONA#
ko anki ko an so, a yanzu haka wasiyyoyin Annabi s.a.w ake bi a duniya wajen gujewa cutar Corona..
    Uqbatu bin Amir ya tambayi Annabi s.a.w; menene tsira? sai yace masa "" ka kame harshenka, kuma gidanka ya wadaceka (ka zauna a gidanka ka kula dashi)",1039267748,
"#Yanmatankaduna
Ranan Edi a wanke hannu ayi kwalliya a zauna gida.
#operationNoYawonSallah😂💔🔫",1.03E+18,
"*لله الامر من قبل و من بعد*

Tsokaci akan masu Qaryata samuwar Cutar Corona, Su sani suna Cutar da Al'umma ne.

Dr. Bashir Aliyu Umar(Hafizahullah) https://t.co/wrNTgJkkji",1039267748,
"....cikin wasu 'yan watanni kadan.
Kun yaudari kanku idan kunyi tunanin cewa korona za ta rage yawan mutanan duniya 😂 https://t.co/ySOnGn19wD",3136433408,
"...Haka Wani Yace Mana Idan Ba'asha ⚽'s Madrid ba ba'a Buga Wasan bane aranchan, toh Ashe Baza'asha Madrid ba tunda ba'ayita a ranchan ba👈😁 Bawani Korona🚫 https://t.co/P8QNXuLdml",1.10E+18,
"..muna qara Addu'a Allah ya qara tsare mu baki daya daka wannan annoba ta Corona virus, da kuma  dukkan wata cuta wadda muka sani da wadda bamu sani ba. Daka garemu    ""I.S.Mairawani,. 
Mun gode 🙏",475133585,Neutral
@___famrah @BUK_Campus @Khamismusa16 @Nuralysis2u acigaba da hakuri😅 a cigbada wanke hannu 🧼 asaka takunkume a baki 😷,1456423633,
@___hajo Ki qara hakuri kici gaba da wanke hannu ki zauna kuyi aikin gida 🙏🏻🙏🏻,3329557707,
@__headboi @shuaibuabdul20 A wanke hannu,1914633000,
@__sarauniya Sai anemi miji ay aure.. in an rasa Mai kwasa ayi ta zaman Gida ana wanke hannu!!,3005290986,
@__yellows Ka cigaba da wanke hannu,559571081,Positive
"@_aymern_ @Abdul_Rma Naga alama. Ki ce mar ya kara hakuri, 
Ya cigaba da wanke hannu.",7.54E+17,
"@_cAPt_uMARssoN @Arasheeeeed @Waziri_jr_ @chaki_iiii @Reaperr01 @teejay_i @Maryerm_a_y @premierleague A qara haquri 
A sha ruwa akuma wanke hannu",619098186,Neutral
@_fateehu @taheeyrah @Abba_dambatta11 Zan saka masa takunkumi,2438030794,
@_hafsat_paki @AysherSadiq Kawai akara hakuri a zauna gida a dinka wanke hannu😂😂😂,8.14E+17,
@_Ibrahieim Wallahi acigaba da wanke hannu kawae,1.04E+18,
@_maryamahh 😂😂 bakida M wllhy..wai yaci gabada wanke hannu,1018421065,Neutral
@_SirMubarak @jr_gadanyah @man__saif @Naseer_oumar @Khalifayks Hhh Kai dai ka wanke hannu malam... Tunda bbu abinci anan ya kare,3005290986,
@_stephhani Deworm ke? Ninu Korona yii?,1117320985,Neutral
@_yakawada Sunce mummuna kike kamar duwawu akuya shiyasa kika saka mask,1.00E+18,Neutral
@_yrumerh A wanke hannu😂😂,1.01E+18,Positive
@3yesharu maa shaa Allah. Drink from it. a year-long immunity against annoba,1003978482,Neutral
@A_A_mustapha 😂😂 suci gaba da wanke hannu daga zaman gida sai kasuwa.  Babu corona akasuwa 😂🤣,1.21E+18,Negative
@A_hydar313 Malam hydar wai ina nufin mu yanzu ba abunda y shafe mu da shi abunda yke gaban mu wannan annobar Allah y kawo mana arshen ta Ai ba wanda zai rayu yana cin zarafin abinda Allah y karrama yace yana son zaman lapia,1.06E+18,
"@aadandawaki @Abdul_Naira @AbduulAIG Don't mind our reckless brothers.
Allah ya ƙara tsare duniya daga wannan annoba",1675168670,
@aaibrahm Allah ka tsare jihar mu ta Kano Mai albarka Allah ka shiga lamarinmu ka ya yaye mana wannan annobar Allah badan halinmu ba,3372596398,
"@aakankiya @ShuaibuKankia @babbahmed @AbuKusada @HamzaKankia @AbdulHadiAhmadB @Muhammad_knk @kabirknk 😂 🤣 😂
A Kara hakuri a zauna gida a cigaba da wanke hannu 😁. Ina zuwa Kan ku Amma banda prof 😂",7.13E+17,
@aashariff Inama ake zuwa daza'a wajabta takunkumi?,1.16E+18,
@Abba_dambatta11 @Uncle_Faruk @QueenOfArewa Achi gaba da wanke hannu,341578289,
"@abba_mukaddas Kai ko wayewar ba daya ba ai, akwai dan tazara 😂",3043871206,Neutral
@Abba_Ryder @bbchausa Nabi wanke hannu da gudu kebbi na cire mashi wando,352047842,
@abbah_1 @GovKaduna Update Alhaji aci gaba da wanke hannu ka zauna a gida,1.11E+18,Positive
"@AbbakarAdegun @AysheerParrot Da yake kana da karancin imani a zuciyarka...

Ko annabi SAW a lokacinsa ya umarci da a kebe wasu mutane da annoba ta fada musu gudun kada su shafa ma wanda baiji ba bai gani ba..

In an kulle masallacin ka'aba ance har abada",1216688406,
"@Abbakurfee Toh a zauna a gida, a kuma wanke hannu sosai 😂🤣",360715707,Positive
@abbasabubakarm1 @MBuhari Naga takunkumi aka sama mutane,456744461,
"@abdallahimusa88 @aisha_yaGuda so hana ganin laifi, banga laifin ka ba, kuna da yawa a gari baku so a fadi laifin buhari.
Rashin tunani ne wajen gwamnati ""APC"" da mulkin kama karya zata zaftare kasafin kudi bangaren lapiya duba da ana cikin annobar covid-",766240046,Neutral
@Abdallahsalees2 A cigabada haquri a wanke hannu😂,376464480,
@AbdoolShyndy @abbanoura Kuci gaba da haquri ku wanke hannu ku zauna gida,1191093654,
@Abdul_Rma @_aymern_ Kai dai kaje Ka cigaba da wanke hannu kawai. Lokacin mu ne ynxu,7.54E+17,
"@AbdulfatahAdnan Eh wae sunce meye na saka mask en?
Wae in ka isa kacire aga fuskar😂",8.99E+17,Neutral
"@Abdulhamied_AA @Hustleuthman Na dem dey bring korona virus for us 
See as him hold dat bird for hand",1.21E+18,
@Abdulmunin_Abba @NCDCgov @Aiesmerh Allah yakaremu yakawo mana karshen wannan annoba🙏🏼,1.16E+18,
@abduossamerd A wanke hannu in kunji yunwa kuyi sanitizing hannun ku,9.01E+17,
@AbeerahAhmad Toh ki wanke hannu ki zauna a gida,381496908,
@abeeUD_ Je ka wanke hannu ka kwanta 😂😂😂,233413819,Positive
@Abkr_Maikudi @hayateey1 Kar a manta a wanke hannu😊,306703158,
"@AbkSuleiman An ce a gida mu ake takunkumi, kawai dai muyi ta wanke hannu, idan mu ji yunwa ma mu sake wanke hannu",41720668,
"@aboderin_taiwo I won't throw it away ooo

Osan 200 ninu korona yi

I go suck am like that",841568190,
