text,author_id,Label
"- @aishambuhari ta nemi babban sufeton 'yan sanda da ya magance annobar fyade a Najeriya
https://t.co/5UE9gl2NJY",7.97E+17,neutral
"""Duk dan Bokon da baida Ilimin Addini Annoba ne cikin Al'ummah.""

Ali Yahaya Mohammed",2290469884,neutral
"""Duk mutumin da yayi tunanin bawa mutane ilimi da koya musu sana'a, to ya fitar dasu daga annoba guda biyu; talauci da Jahilci"" ~ Sheikh Aminu Ibrahim Daurawa. 

Allah ya saka da alheri @KwankwasoRM 

🎥 credit : @KwankwasiyyaRe2 https://t.co/rCQiTNK0HY",1071386863,neutral
"""Duk wanda ya sabawa dokar kaucewa kamuwa daga cutar Corona zai fuskanci hukuncin watanni 6 a gidan yari ""
#MuhammaduBuhari",1.26E+18,Positive
"""Duk wanda ya san ya fito daga yankin da ake Annobar Corona ko kuma ma ya ke jin alamunta a jikinsa amma ya qi killace kan shi, kuma ya yaqi zuwa gwaji, ya shiga cikin al'ummar da ba su da ita,",1039267748,Positive
"""idan anji yunwa a sake wanke hannu"" 😂 https://t.co/XpYrR5AlVg",2278593854,Positive
"""Masallaci ko babu Annoba tun asali waje ne Mai tsari da sanin ya kamata.. 

Amma su kuwa Kasuwanni tun asali ko babu Annoba wuri ne na hargowa da turmutsutsu."" 

Lawal Mamman Bilbis
21-Ramadan-1441

#dakeake… https://t.co/278JZ7PgXP",1665774104,neutral
"""Mataki na ci gaba shine ɗaukar mataki na gaba.""
-John C.  Maxwell

Mainene nazarin ka kan ci-gaban ka?

Menene babbar tunanin ka cikin wannan lokotan tashin hankulan kan cutar korona? 

Hasali, wajen haɗa ababen da suka birkice sai mutum ya tsaya ya kalli hotonar ababen da kyau",3247231575,neutral
"""Shekara ta 2020 shekara ce da duniya ta gamu da iftila'in annobar cutar Korona. An samu tabuwar tattalin arziki a fadin duniya musamman  kasashen da suka dogara da manfetir. "" Me zaka ce game da tattalin arzikin Najeriya? https://t.co/u7tDTgux1N",2173243450,Positive
"#Alhamdulillah🙏
Ya Allah ka kiyaye mu Sharrin Zamani, Allah kayi mana maganin Wannan Annoba, Ka kawo mana karshenta, Allah mun Tuba. Allah ka Kara shirya mu
Ina Muku Fatan Alheri Da Kuma Barka Da Safiya @ Gombe Main… https://t.co/H4Ue4uRYOi",9.76E+17,Positive
"#AtikuKawai 
WalLahi Yan arewa Mu tashi tsaye. Domin yanda yan ta'adda suke Kashe mutane a arewacin Nigeria, cutar Corona bata kashe kashi daya cikin hudu. 
WalLahi mu dage wannan gwaunatin bata damu da Talaka ba. Mu manoma  43, aka yima yankan rago a Zabarmari https://t.co/BGG7TvaA7I",1.31E+18,neutral
"#BABBANLABARI: Za A Yi Wa Dukkanin 'Yan Najeriya Rigakafin Cutar CORONA - Gwamnatin Tarayya — https://t.co/eqiZFsn4sn

Karanta wadannan da ma wadansu  labaran a https://t.co/Qk3k0ISPhQ #MuryarƳanci #MY #BabbanLabari #Jarida #MuryarKowa #WearAMask #StaySafe https://t.co/8wdskvNR81",1929863173,Positive
"#COVID19, Hanyoyin kariya daga kamuwa da cutar corona virus @sarkinyaki2005 @saadatuSMD @Comrd_binji @MailatoYdo @abarshi_salman @Dankaduna2 @umme_sulaiman @AishaBabaWazir1 @activistbinanci @AbdooullSG @anas_danfili @ForRosolution @habiba_zuntu @HamzaAb57261364 @ https://t.co/hSwb1BRphI",1077415166,Positive
#COVID19: Yadda ake wanke hannaye domin kare kai daga kamuwa daga cutar Korona Bairos https://t.co/OOV5W7CLBo,385867296,Positive
"#Distinguished Sen Malam Uba Sani  ya fitar da motion cewa a kafa ma'aikatan binciken annoba a kaduna wanda dama bamu da shi a arewa. 
#WeldoneMyDenator https://t.co/hLhgBExtw0",723960950,neutral
"#INNALILLAH_WAINNA_ILAIHIR_RAJIUN

An sake samun mutum 12 masu dauke da cutar Corona wato Covid-19 a Jihar Kano bayan da maaikatar lafiya ta sanar da haka wanda adadin masu dauke da cutar a jihar Kano yanzu ya kama mutum 21. 
 #StayAtHomeAndStaySafe https://t.co/yq0OnTP0Y1",1.08E+18,Positive
#KadunaVsKano kd guys ayi hakuri a zauna gida a wanke hannu. Xuwa Kano ShopRite a hskura Sai big sallah https://t.co/l8xG2kswz3,1112804154,Positive
"#KasakemanaMutane

@KKastelea 
@bbchausa 
@elrufai 

Ashe korona batason Karatun Alkur'ani da kuma zikirin ALLAH...?

KA SAKI MANA MUTANE KADA KA JAWOWA KANKA FUSHIN ALLAH",1.33E+18,neutral
"#KSSM

Mai Girma Gwamna @GovUmarGanduje da Mataimakin sa @DGawuna sun halarci taron horar da shugabannin asibitocin Gwamnatin jiha tare da na masu zaman kan su domin koyar da su hanyoyin kare kan su daga kamuwa da cutar Corona wato #covid1948 https://t.co/76CA4PSnR7",1.11E+18,Positive
"#stayhomestaysafe.

Allah Badan Halin muba, ka Yaye Mana Wannan Annoba. https://t.co/MsrcUuXxeh",1.04E+18,Positive
"#TSORONCORONA#
ko anki ko an so, a yanzu haka wasiyyoyin Annabi s.a.w ake bi a duniya wajen gujewa cutar Corona..
    Uqbatu bin Amir ya tambayi Annabi s.a.w; menene tsira? sai yace masa "" ka kame harshenka, kuma gidanka ya wadaceka (ka zauna a gidanka ka kula dashi)",1039267748,Positive
"#Yanmatankaduna
Ranan Edi a wanke hannu ayi kwalliya a zauna gida.
#operationNoYawonSallah😂💔🔫",1.03E+18,Positive
"*لله الامر من قبل و من بعد*

Tsokaci akan masu Qaryata samuwar Cutar Corona, Su sani suna Cutar da Al'umma ne.

Dr. Bashir Aliyu Umar(Hafizahullah) https://t.co/wrNTgJkkji",1039267748,Positive
"....cikin wasu 'yan watanni kadan.
Kun yaudari kanku idan kunyi tunanin cewa korona za ta rage yawan mutanan duniya 😂 https://t.co/ySOnGn19wD",3136433408,negative
"...Haka Wani Yace Mana Idan Ba'asha ⚽'s Madrid ba ba'a Buga Wasan bane aranchan, toh Ashe Baza'asha Madrid ba tunda ba'ayita a ranchan ba👈😁 Bawani Korona🚫 https://t.co/P8QNXuLdml",1.10E+18,negative
"..muna qara Addu'a Allah ya qara tsare mu baki daya daka wannan annoba ta Corona virus, da kuma  dukkan wata cuta wadda muka sani da wadda bamu sani ba. Daka garemu    ""I.S.Mairawani,. 
Mun gode 🙏",475133585,Positive
@___famrah @BUK_Campus @Khamismusa16 @Nuralysis2u acigaba da hakuri😅 a cigbada wanke hannu 🧼 asaka takunkume a baki 😷,1456423633,Positive
@___hajo Ki qara hakuri kici gaba da wanke hannu ki zauna kuyi aikin gida 🙏🏻🙏🏻,3329557707,Positive
@__headboi @shuaibuabdul20 A wanke hannu,1914633000,Positive
@__sarauniya Sai anemi miji ay aure.. in an rasa Mai kwasa ayi ta zaman Gida ana wanke hannu!!,3005290986,Positive
@__yellows Ka cigaba da wanke hannu,559571081,Positive
"@_aymern_ @Abdul_Rma Naga alama. Ki ce mar ya kara hakuri, 
Ya cigaba da wanke hannu.",7.54E+17,Positive
"@_cAPt_uMARssoN @Arasheeeeed @Waziri_jr_ @chaki_iiii @Reaperr01 @teejay_i @Maryerm_a_y @premierleague A qara haquri 
A sha ruwa akuma wanke hannu",619098186,neutral
@_fateehu @taheeyrah @Abba_dambatta11 Zan saka masa takunkumi,2438030794,neutral
@_hafsat_paki @AysherSadiq Kawai akara hakuri a zauna gida a dinka wanke hannu😂😂😂,8.14E+17,Positive
@_Ibrahieim Wallahi acigaba da wanke hannu kawae,1.04E+18,Positive
@_maryamahh 😂😂 bakida M wllhy..wai yaci gabada wanke hannu,1018421065,neutral
@_SirMubarak @jr_gadanyah @man__saif @Naseer_oumar @Khalifayks Hhh Kai dai ka wanke hannu malam... Tunda bbu abinci anan ya kare,3005290986,neutral
@_stephhani Deworm ke? Ninu Korona yii?,1117320985,neutral
@_yakawada Sunce mummuna kike kamar duwawu akuya shiyasa kika saka mask,1.00E+18,neutral
@_yrumerh A wanke hannu😂😂,1.01E+18,Positive
@3yesharu maa shaa Allah. Drink from it. a year-long immunity against annoba,1003978482,neutral
@A_A_mustapha 😂😂 suci gaba da wanke hannu daga zaman gida sai kasuwa.  Babu corona akasuwa 😂🤣,1.21E+18,negative
@A_hydar313 Malam hydar wai ina nufin mu yanzu ba abunda y shafe mu da shi abunda yke gaban mu wannan annobar Allah y kawo mana arshen ta Ai ba wanda zai rayu yana cin zarafin abinda Allah y karrama yace yana son zaman lapia,1.06E+18,Positive
@aaibrahm Allah ka tsare jihar mu ta Kano Mai albarka Allah ka shiga lamarinmu ka ya yaye mana wannan annobar Allah badan halinmu ba,3372596398,Positive
"@aakankiya @ShuaibuKankia @babbahmed @AbuKusada @HamzaKankia @AbdulHadiAhmadB @Muhammad_knk @kabirknk 😂 🤣 😂
A Kara hakuri a zauna gida a cigaba da wanke hannu 😁. Ina zuwa Kan ku Amma banda prof 😂",7.13E+17,Positive
@aashariff Inama ake zuwa daza'a wajabta takunkumi?,1.16E+18,negative
@Abba_dambatta11 @Uncle_Faruk @QueenOfArewa Achi gaba da wanke hannu,341578289,Positive
"@abba_mukaddas Kai ko wayewar ba daya ba ai, akwai dan tazara 😂",3043871206,neutral
@Abba_Ryder @bbchausa Nabi wanke hannu da gudu kebbi na cire mashi wando,352047842,negative
@abbah_1 @GovKaduna Update Alhaji aci gaba da wanke hannu ka zauna a gida,1.11E+18,Positive
"@AbbakarAdegun @AysheerParrot Da yake kana da karancin imani a zuciyarka...

Ko annabi SAW a lokacinsa ya umarci da a kebe wasu mutane da annoba ta fada musu gudun kada su shafa ma wanda baiji ba bai gani ba..

In an kulle masallacin ka'aba ance har abada",1216688406,Positive
"@Abbakurfee Toh a zauna a gida, a kuma wanke hannu sosai 😂🤣",360715707,Positive
@abbasabubakarm1 @MBuhari Naga takunkumi aka sama mutane,456744461,Positive
"@abdallahimusa88 @aisha_yaGuda so hana ganin laifi, banga laifin ka ba, kuna da yawa a gari baku so a fadi laifin buhari.
Rashin tunani ne wajen gwamnati ""APC"" da mulkin kama karya zata zaftare kasafin kudi bangaren lapiya duba da ana cikin annobar covid-",766240046,neutral
@Abdallahsalees2 A cigabada haquri a wanke hannu😂,376464480,Positive
@AbdoolShyndy @abbanoura Kuci gaba da haquri ku wanke hannu ku zauna gida,1191093654,Positive
@Abdul_Rma @_aymern_ Kai dai kaje Ka cigaba da wanke hannu kawai. Lokacin mu ne ynxu,7.54E+17,Positive
"@AbdulfatahAdnan Eh wae sunce meye na saka mask en?
Wae in ka isa kacire aga fuskar😂",8.99E+17,neutral
@Abdulmunin_Abba @NCDCgov @Aiesmerh Allah yakaremu yakawo mana karshen wannan annoba🙏🏼,1.16E+18,Positive
@abduossamerd A wanke hannu in kunji yunwa kuyi sanitizing hannun ku,9.01E+17,Positive
@AbeerahAhmad Toh ki wanke hannu ki zauna a gida,381496908,Positive
@abeeUD_ Je ka wanke hannu ka kwanta 😂😂😂,233413819,Positive
@Abkr_Maikudi @hayateey1 Kar a manta a wanke hannu😊,306703158,Positive
"@AbkSuleiman An ce a gida mu ake takunkumi, kawai dai muyi ta wanke hannu, idan mu ji yunwa ma mu sake wanke hannu",41720668,Positive
@Abubakar_AkA @Abbabuba_ Zaku zauna a gida ku cigaba da wanke hannu😂,3632522836,Positive
@Abubakar_omar6 @MBuhari @AbdulHadiAhmadB @BabaBalaKatsina @Ladyposhhhhh @abduldanja87 @GarShehu @Ismailtaury @Umar__farruk @Necessary_Cho @AhmedAdamu @musty_birchi Ubangiji Allah ya yaye mana wannan annobar,9.44E+17,Positive
@Abubakar_YZ In anji yunwa a kara wanke hannu,420920072,Positive
@abubakarICT @baba__________ Sannan a qara da hakuri a ci gaba da wanke hannu.,329304977,Positive
"@abubakarjmb @mymusa92 @abimaz_i @dawisu @NafSad_ @GovUmarGanduje Shin wai domin wani ne ya gina ba za a ayi amfani da shi ba kenan,. Bada komai bane siyasa, ko ajiye wannan siyasa ku fuskanci wannan annoba da take neman fadowa cikin arewa. This disease d",475047495,Positive
"@Abutreeka_10 @babyabdulkadeer Ae bara kaji in gayama... Tun daga kan ma'aekata akafara samun matsala d kuma haddasa yaduwar wannan annoba...sbd har bayan qulle boarder din kano d akayi, kae harma yanxunnan d muke mgn dakae mutane suna shigowa daga sassan",9.57E+17,Positive
@AbuTurakisadiq @MalamKaybee Da kenan ai yanzu yq zama annoba 😂,1542372278,neutral
@Adaugetsoo @__Haseki Da takunkumi mai kaca kuwa ba,384562148,negative
